Date,Trend Line
2015-03-04,37.65142058782939
2015-03-05,37.69968668923039
2015-03-06,37.74795279063139
2015-03-09,37.7962188920324
2015-03-10,37.8444849934334
2015-03-11,37.892751094834395
2015-03-12,37.94101719623541
2015-03-13,37.989283297636405
2015-03-16,38.0375493990374
2015-03-17,38.085815500438414
2015-03-18,38.13408160183941
2015-03-19,38.18234770324041
2015-03-20,38.23061380464142
2015-03-23,38.27887990604242
2015-03-24,38.32714600744342
2015-03-25,38.37541210884443
2015-03-26,38.42367821024543
2015-03-27,38.471944311646425
2015-03-30,38.52021041304744
2015-03-31,38.568476514448435
2015-04-01,38.61674261584943
2015-04-02,38.665008717250444
2015-04-06,38.71327481865144
2015-04-07,38.76154092005244
2015-04-08,38.80980702145345
2015-04-09,38.85807312285445
2015-04-10,38.90633922425545
2015-04-13,38.95460532565646
2015-04-14,39.00287142705746
2015-04-15,39.051137528458455
2015-04-16,39.09940362985947
2015-04-17,39.147669731260464
2015-04-20,39.19593583266146
2015-04-21,39.244201934062474
2015-04-22,39.29246803546347
2015-04-23,39.34073413686447
2015-04-24,39.38900023826548
2015-04-27,39.43726633966648
2015-04-28,39.48553244106748
2015-04-29,39.53379854246849
2015-04-30,39.58206464386949
2015-05-01,39.630330745270484
2015-05-04,39.678596846671496
2015-05-05,39.726862948072494
2015-05-06,39.77512904947349
2015-05-07,39.823395150874504
2015-05-08,39.8716612522755
2015-05-11,39.9199273536765
2015-05-12,39.96819345507751
2015-05-13,40.01645955647851
2015-05-14,40.06472565787951
2015-05-15,40.11299175928052
2015-05-18,40.161257860681516
2015-05-19,40.209523962082514
2015-05-20,40.257790063483526
2015-05-21,40.306056164884524
2015-05-22,40.35432226628552
2015-05-26,40.40258836768653
2015-05-27,40.45085446908753
2015-05-28,40.49912057048853
2015-05-29,40.54738667188954
2015-06-01,40.59565277329054
2015-06-02,40.643918874691536
2015-06-03,40.69218497609255
2015-06-04,40.740451077493546
2015-06-05,40.788717178894544
2015-06-08,40.836983280295556
2015-06-09,40.88524938169655
2015-06-10,40.93351548309755
2015-06-11,40.98178158449856
2015-06-12,41.03004768589956
2015-06-15,41.07831378730056
2015-06-16,41.12657988870157
2015-06-17,41.17484599010257
2015-06-18,41.223112091503566
2015-06-19,41.27137819290458
2015-06-22,41.319644294305576
2015-06-23,41.36791039570657
2015-06-24,41.416176497107585
2015-06-25,41.46444259850858
2015-06-26,41.51270869990958
2015-06-29,41.56097480131058
2015-06-30,41.60924090271159
2015-07-01,41.65750700411259
2015-07-02,41.705773105513586
2015-07-06,41.7540392069146
2015-07-07,41.802305308315596
2015-07-08,41.85057140971659
2015-07-09,41.898837511117605
2015-07-10,41.9471036125186
2015-07-13,41.9953697139196
2015-07-14,42.04363581532061
2015-07-15,42.09190191672161
2015-07-16,42.14016801812261
2015-07-17,42.18843411952362
2015-07-20,42.23670022092462
2015-07-21,42.284966322325616
2015-07-22,42.33323242372663
2015-07-23,42.381498525127625
2015-07-24,42.42976462652862
2015-07-27,42.478030727929635
2015-07-28,42.52629682933063
2015-07-29,42.57456293073163
2015-07-30,42.62282903213264
2015-07-31,42.67109513353364
2015-08-03,42.71936123493464
2015-08-04,42.76762733633565
2015-08-05,42.81589343773665
2015-08-06,42.864159539137646
2015-08-07,42.91242564053866
2015-08-10,42.960691741939655
2015-08-11,43.00895784334065
2015-08-12,43.057223944741665
2015-08-13,43.10549004614266
2015-08-14,43.15375614754366
2015-08-17,43.20202224894467
2015-08-18,43.25028835034567
2015-08-19,43.29855445174667
2015-08-20,43.34682055314768
2015-08-21,43.39508665454868
2015-08-24,43.443352755949675
2015-08-25,43.49161885735069
2015-08-26,43.539884958751685
2015-08-27,43.58815106015268
2015-08-28,43.636417161553695
2015-08-31,43.68468326295469
2015-09-01,43.73294936435569
2015-09-02,43.7812154657567
2015-09-03,43.8294815671577
2015-09-04,43.8777476685587
2015-09-08,43.92601376995971
2015-09-09,43.97427987136071
2015-09-10,44.022545972761705
2015-09-11,44.07081207416272
2015-09-14,44.119078175563715
2015-09-15,44.16734427696471
2015-09-16,44.215610378365724
2015-09-17,44.26387647976672
2015-09-18,44.31214258116772
2015-09-21,44.36040868256873
2015-09-22,44.40867478396973
2015-09-23,44.45694088537073
2015-09-24,44.50520698677174
2015-09-25,44.55347308817274
2015-09-28,44.601739189573735
2015-09-29,44.65000529097475
2015-09-30,44.698271392375744
2015-10-01,44.74653749377674
2015-10-02,44.794803595177754
2015-10-05,44.84306969657875
2015-10-06,44.89133579797975
2015-10-07,44.93960189938075
2015-10-08,44.98786800078176
2015-10-09,45.03613410218276
2015-10-12,45.084400203583755
2015-10-13,45.13266630498477
2015-10-14,45.180932406385764
2015-10-15,45.22919850778676
2015-10-16,45.277464609187774
2015-10-19,45.32573071058877
2015-10-20,45.37399681198977
2015-10-21,45.42226291339078
2015-10-22,45.47052901479178
2015-10-23,45.51879511619278
2015-10-26,45.56706121759379
2015-10-27,45.61532731899479
2015-10-28,45.663593420395785
2015-10-29,45.7118595217968
2015-10-30,45.760125623197794
2015-11-02,45.80839172459879
2015-11-03,45.856657825999804
2015-11-04,45.9049239274008
2015-11-05,45.9531900288018
2015-11-06,46.00145613020281
2015-11-09,46.04972223160381
2015-11-10,46.09798833300481
2015-11-11,46.14625443440582
2015-11-12,46.19452053580682
2015-11-13,46.242786637207814
2015-11-16,46.291052738608826
2015-11-17,46.339318840009824
2015-11-18,46.38758494141082
2015-11-19,46.435851042811834
2015-11-20,46.48411714421283
2015-11-23,46.53238324561383
2015-11-24,46.58064934701484
2015-11-25,46.62891544841584
2015-11-27,46.67718154981684
2015-11-30,46.72544765121785
2015-12-01,46.773713752618846
2015-12-02,46.821979854019844
2015-12-03,46.870245955420856
2015-12-04,46.918512056821854
2015-12-07,46.96677815822285
2015-12-08,47.01504425962386
2015-12-09,47.06331036102486
2015-12-10,47.11157646242586
2015-12-11,47.15984256382687
2015-12-14,47.20810866522787
2015-12-15,47.256374766628866
2015-12-16,47.30464086802988
2015-12-17,47.352906969430876
2015-12-18,47.401173070831874
2015-12-21,47.449439172232886
2015-12-22,47.49770527363388
